# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	5108626	692	24137	-	1841.6	1290
83779at2759	Complete	5102504	7766	12294	-	195.0	199
87842at2759	Complete	5118808	7630	19352	-	370.5	386
97116at2759	Duplicated	5075026	24	4958	-	1199.9	960
97116at2759	Duplicated	5075027	24	4958	-	1199.9	960
100698at2759	Duplicated	5120311	13231	20780	+	724.4	494
100698at2759	Duplicated	5034564	6076	13625	+	723.9	494
100698at2759	Duplicated	5031023	1566	8570	-	662.0	456
100698at2759	Duplicated	5093342	11	7015	+	662.0	456
142542at2759	Fragmented	5138715	923	19081	+	211.2	308
156083at2759	Complete	5112667	3177	15582	+	3516.1	1906
160593at2759	Missing
166920at2759	Fragmented	5130279	7064	11246	+	400.8	437
176625at2759	Complete	5128525	19732	29910	-	281.0	485
179362at2759	Complete	5139820	6186	21240	-	609.9	1195
245208at2759	Complete	5128536	7363	11184	-	1519.1	900
257318at2759	Fragmented	5109361	351	6199	+	123.7	96
261328at2759	Missing
261419at2759	Complete	5130648	1241	10138	+	246.4	400
270107at2759	Duplicated	5065949	113	11697	+	554.1	603
270107at2759	Duplicated	5065950	113	11697	+	554.1	603
271586at2759	Duplicated	5059679	2788	24069	+	139.6	338
271586at2759	Duplicated	5085223	34	21315	-	139.6	338
290630at2759	Complete	5129975	4358	9496	-	683.0	618
293315at2759	Missing
296129at2759	Duplicated	5132745	6428	22652	-	946.3	695
296129at2759	Duplicated	5117147	741	14599	-	880.7	670
296129at2759	Duplicated	5101202	1136	10939	+	807.7	547
299766at2759	Complete	5131772	281	18820	+	416.0	458
306227at2759	Complete	5130473	8254	24198	-	516.2	510
320059at2759	Complete	5129547	1200	6434	+	668.5	374
324863at2759	Duplicated	5067663	2793	9475	-	596.1	561
324863at2759	Duplicated	5069352	273	6955	-	596.1	561
324863at2759	Duplicated	5089939	8912	15594	+	596.1	561
324863at2759	Duplicated	5138904	9013	15695	-	596.1	561
325552at2759	Complete	5099329	836	12844	+	383.2	427
330169at2759	Missing
331411at2759	Complete	5130160	29	10493	-	340.5	397
341721at2759	Complete	5130259	775	7980	+	235.5	394
345441at2759	Complete	5134635	6399	10910	+	322.8	290
355408at2759	Duplicated	5022920	5868	10255	+	769.6	557
355408at2759	Duplicated	5068186	493	4937	-	769.5	557
369837at2759	Complete	5129773	783	9999	-	300.9	340
375960at2759	Complete	5085699	5217	9910	-	293.1	298
383503at2759	Complete	5110787	3348	11384	+	348.4	360
388820at2759	Complete	5134634	685	9064	-	379.6	401
390348at2759	Duplicated	5052824	4311	11609	-	1150.3	769
390348at2759	Duplicated	5132203	360	7967	-	1148.7	687
392369at2759	Duplicated	5040937	7881	13606	+	382.6	340
392369at2759	Duplicated	5067680	20601	26326	+	382.6	340
396755at2759	Complete	5131881	960	14344	-	389.1	643
418107at2759	Complete	5125194	207	7046	-	323.6	338
426305at2759	Complete	5131962	5092	11024	-	355.3	470
450058at2759	Fragmented	5092285	1151	4232	-	109.6	148
453044at2759	Complete	5133151	6	5414	+	191.6	223
457861at2759	Duplicated	5051689	1688	10175	+	60.1	149
457861at2759	Duplicated	5085048	1765	10261	-	60.1	149
464990at2759	Duplicated	5049956	7546	13127	-	299.3	311
464990at2759	Duplicated	5087196	5224	10805	+	299.3	311
491869at2759	Complete	5120560	2481	6782	-	239.3	243
513979at2759	Complete	5104220	3226	9256	-	154.1	261
543764at2759	Complete	5132283	7955	14215	-	189.1	244
549762at2759	Duplicated	5088707	553	5437	+	416.8	425
549762at2759	Duplicated	5070897	11820	15612	-	396.1	385
551907at2759	Complete	5109335	724	8013	+	224.0	263
570797at2759	Duplicated	5099991	3952	21128	+	505.2	478
570797at2759	Duplicated	5027325	4596	8203	+	456.6	410
570797at2759	Duplicated	5099204	2927	6534	+	456.6	410
570797at2759	Duplicated	5099205	2927	6534	+	456.6	410
582756at2759	Fragmented	4966517	138	1842	+	120.0	157
598949at2759	Complete	5132797	5109	8039	+	376.3	392
604979at2759	Complete	5133133	191	15455	+	253.9	225
621827at2759	Complete	5132793	1242	2828	+	311.4	337
625387at2759	Complete	5134888	423	13097	-	286.1	356
655400at2759	Complete	5128749	31651	42788	+	277.4	293
664730at2759	Duplicated	5086975	52	1410	-	633.4	351
664730at2759	Duplicated	5139701	52	1410	-	633.4	351
664730at2759	Duplicated	5086973	2	1099	+	570.0	320
664730at2759	Duplicated	5086974	2	1099	+	570.0	320
671536at2759	Duplicated	5080376	2479	6878	+	419.9	273
671536at2759	Duplicated	5100013	7235	11634	-	419.9	273
671846at2759	Complete	5122076	5672	26232	-	181.8	398
673132at2759	Complete	5076895	2	3593	-	284.5	248
674160at2759	Complete	5132033	86	22505	-	510.6	1028
674169at2759	Missing
679187at2759	Complete	5130092	30747	64434	-	370.2	454
679771at2759	Fragmented	5136840	21621	24630	-	72.5	97
687505at2759	Complete	5135080	7144	12190	+	202.9	235
692986at2759	Duplicated	5072047	1145	11814	-	168.9	286
692986at2759	Duplicated	5072046	1145	11499	-	168.1	274
708105at2759	Complete	5129676	10591	13152	+	123.9	234
719531at2759	Duplicated	5139263	5364	11490	+	398.1	298
719531at2759	Duplicated	5061230	722	6789	-	396.6	289
720340at2759	Duplicated	5088472	4275	5879	+	156.1	214
720340at2759	Duplicated	5088473	3924	5528	+	156.1	214
721605at2759	Fragmented	5077951	886	4882	-	148.6	137
722805at2759	Complete	5129624	11169	23280	+	314.5	379
734341at2759	Complete	5094981	43	2954	+	115.0	168
734666at2759	Duplicated	5072028	195	1730	+	489.6	373
734666at2759	Duplicated	5120155	6973	8508	-	489.6	373
736068at2759	Fragmented	5122564	1	2920	+	174.1	146
751335at2759	Duplicated	5095023	204	10310	+	217.7	222
751335at2759	Duplicated	5103446	204	10310	+	217.7	222
759498at2759	Fragmented	5093422	0	3371	-	220.4	181
